Product Title,Price,Product Condition,Quantity,Shipping Info,Import Charges,Delivery Info,Returns Info
Touch Screen Digitizer Screen For Lenovo Tab3 8 TB3-850M TB3-850F TB3-850,US $13.00/ea,NewNew,10 available,US $40.00 Expedited International Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: 深圳市, China","Estimated between Wed, Jul 26 and Wed, Aug 2 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.This item has an extended handling time and a delivery estimate greater than 14 business days.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
New Lenovo ThinkPad X1 Yoga 3rd Gen WQHD Touch LCD Screen 01AY927 SM Camera,US $249.00,NewNew,5 available,"US $64.24 eBay International Shipping. See detailsfor shippingLocated in: Union City, New Jersey, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Tue, Aug 15 and Tue, Sep 5 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 28 business days.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
5D10R41286 - D2 Lenovo DISPLAY AU B140HTN02.0 HW:1A FHDT AG NB - SMALL SCRATCHES,US $14.99/ea,UsedUsed,2 available,US $63.05 USPS Priority Mail InternationalTM. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: Houston, Texas, United States","Estimated between Fri, Jul 21 and Fri, Aug 18 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 11 business days.Seller ships within 1 day after receiving cleared payment.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"15.6"" HD EDP LCD Screen for Lenovo ideapad 310-15IKB 80TV 310-15ISK 80SM 01EN013",AU $52.00,Open boxOpen box,2 available,AU $48.00 (approx US $32.08) International Economy : tracked-signature (11 to 35 business days). See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: Hong Kong, Hong Kong","Estimated between Fri, Jul 21 and Thu, Aug 24 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 11 business days.Seller ships within 1 day after receiving cleared payment.Please allow additional time if international delivery is subject to customs processing.",60 days returns. Buyer pays for return shipping. See details- for more information about returns
5X Ultra Clear Screen Protector Guard for Samsung Galaxy Tab A 10.1 SM-T580 T585,GBP 5.25,NewNew,More than 10 available,GBP 2.45 (approx US $3.11) Standard Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: Halifax, United Kingdom","Estimated between Mon, Jul 10 and Sat, Jul 15 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please allow additional time if international delivery is subject to customs processing.",60 days returns. Buyer pays for return shipping. See details- for more information about returns
"15.6"" WXGA HD EDP LCD LED Screen for Lenovo Ideapad 310-15ISK 80SM 80SM0048US",US $62.99/ea,NewNew,More than 10 available / 1 sold,"US $49.32 eBay International Shipping. See detailsfor shippingLocated in: Dallas, Texas, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Wed, Aug 30 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"Lenovo 00ur889 B156HAK02.0 15.6"" Small 40 Pin eDP Laptop Screen In-Cell Touch",US $125.00,NewNew,5 available / 1 sold,"US $50.50 eBay International Shipping. See detailsfor shippingLocated in: Union City, New Jersey, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Mon, Aug 14 and Mon, Sep 4 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 27 business days.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
New For Lenovo ThinkPad T440P LCD Back Cover Screen Case 04X5423 AP0SQ0001 USA,US $22.99,NewNew,6 available / 4 sold,"US $48.56 eBay International Shipping. See detailsfor shippingLocated in: Diamond Bar, California, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Wed, Aug 30 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
2 Pack Tempered Glass Screen Protector For Amazon/ Samsung/ Surface/ iPad/Lenovo,US $6.99,NewNew,More than 10 available / 217 sold,"US $25.67 eBay International Shipping. See detailsfor shippingLocated in: Brooklyn, New York, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Tue, Aug 29 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Lenovo Ideapad MIIX 700 Touch Screen Digitizer PCB Logic Board Replacement Part-,EUR 29.00,UsedUsed“In good condition. Original part taken from a working tablet.”,N/A,EUR 7.99 (approx US $8.71) Spedizione internazionale standard. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: Riga, Latvia","Estimated between Mon, Jul 17 and Fri, Aug 4 to 11511 Delivery time is estimated using our proprietary method which is based on the buyer's proximity to the item location, the shipping service selected, the seller's shipping history, and other factors. Delivery times may vary, especially during peak periods. Please note the delivery estimate is greater than 8 business days.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"NEW 15.6"" FHD IPS DISPLAY SCREEN MATTE FOR IBM LENOVO THINKBOOK 15-IIL TYPE 20SM",GBP 63.63,NewNew,More than 10 available / 1 sold,GBP 21.95 (approx US $27.85) Standard Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: Ipswich, United Kingdom","Estimated between Fri, Jul 14 and Fri, Jul 28 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 7 business days.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"NEW 15.6"" FHD TN DISPLAY SCREEN PANEL AG FOR LENOVO THINKBOOK 15-IIL TYPE 20SM",GBP 57.63,Open boxOpen box“PLEASE NOTE: These parts will come with up to 5 dead pixels. Once fitted these do not impact the use ”... Read moreabout condition,More than 10 available,GBP 21.95 (approx US $27.85) Standard Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: Ipswich, United Kingdom","Estimated between Fri, Jul 14 and Fri, Jul 28 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 7 business days.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
New Lenovo IBM ThinkPad T460s Screen Surround LCD Bezel Frame Sticker B,GBP 12.00,NewNew,6 available,"GBP 15.95 (approx US $20.24) Expedited Shipping to Egypt via eBay's Global Shipping ProgramThis amount includes seller specified domestic shipping charges as well as applicable international shipping, handling, and other fees. This amount is subject to change until you make payment. For additional information, see the Global Shipping Program terms and conditions. See detailsfor shippingLocated in: Harrow, Middlesex, United Kingdom","Est. £14.20 Amount confirmed at checkoutThis amount includes applicable customs duties, taxes, brokerage and other fees. This amount is subject to change until you make payment. For additional information, see the Global Shipping Program terms and conditions","Estimated between Tue, Jul 18 and Fri, Jul 21 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Includes international tracking",30 days returns. Buyer pays for return shipping. See details- for more information about returns
15.6 Sm eDP LCD Screen for Lenovo B50-30 B50-45 B50-70 Laptop 1366X768 Display,US $62.99/ea,NewNew,More than 10 available,"US $49.32 eBay International Shipping. See detailsfor shippingLocated in: Texas, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Wed, Aug 30 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"LENOVO THINKPAD YOGA 11E CHROMEBOOK GEN4 11.6"" HD IPS LED LCD ASSEMBLY 01HW906",US $18.89/ea,NewNew,More than 10 available / 30 sold,"US $48.48 eBay International Shipping. See detailsfor shippingLocated in: Cleveland, Ohio, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Wed, Aug 30 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"IBM-Lenovo IDEAPAD 310 80SM 15ISK Series 15.6"" LED LCD Screen eDP 30PIN",US $53.34,NewNew,More than 10 available / 2 sold,"US $60.52 eBay International Shipping. See detailsfor shippingLocated in: Plano, Texas, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Wed, Aug 30 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"15.6"" Slim WXGA HD EDP LED LCD Screen 30 Pin for Lenovo Ideapad 310-15ISK 80SM",US $56.98/ea,NewNew,More than 10 available / 11 sold,"US $49.20 eBay International Shipping. See detailsfor shippingLocated in: Dallas, Texas, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Wed, Aug 30 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
5D10K90419 Lenovo 310-15isk AUO B156XTN07.0 HD LCD Screen LED 1366 X 768,US $53.34/ea,NewNew,More than 10 available / 11 sold,"US $49.14 eBay International Shipping. See detailsfor shippingLocated in: Dallas, Texas, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Wed, Aug 30 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
01HW946 COVER FRU LCD COVER SMALL wigig,US $14.99/ea,Open boxOpen box,10 available,US $63.05 USPS Priority Mail InternationalTM. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: Houston, Texas, United States","Estimated between Fri, Jul 21 and Fri, Aug 18 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 11 business days.Seller ships within 1 day after receiving cleared payment.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
2 PCS Tempered Screen Protector For Amazon Fire / iPad /Samsung/Lenovo Tablet,US $7.76,NewNew,More than 10 available / 146 sold,"US $25.69 eBay International Shipping. See detailsfor shippingLocated in: Brooklyn, New York, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Tue, Aug 29 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"Lenovo IdeaPad 310-15ISK type 80SM 15.6"" FHDT LED TN glossy display screen panel",GBP 82.83,NewNew,More than 10 available,GBP 21.95 (approx US $27.85) Standard Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: Ipswich, United Kingdom","Estimated between Fri, Jul 14 and Fri, Jul 28 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 7 business days.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"15.6"" Sm eDP LCD Screen Lenovo B50-30 B50-45 B50-70 Laptop 1366X768 Display",US $68.39,NewNew,More than 10 available / 6 sold,"US $26.84 eBay International Shipping. See detailsfor shippingLocated in: Union City, New Jersey, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Fri, Aug 11 and Thu, Aug 31 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 26 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Genuine Lenovo T470s Series Laptop LCD Screen Bezel Frame 01ER096 SM10H22107,AU $59.90,NewNew,2 available,AU $15.00 (approx US $10.03) Australia Post International Standard. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: BELMORE, New South Wales, Australia","Estimated between Thu, Jul 20 and Thu, Aug 10 to 11511 Delivery time is estimated using our proprietary method which is based on the buyer's proximity to the item location, the shipping service selected, the seller's shipping history, and other factors. Delivery times may vary, especially during peak periods. Please note the delivery estimate is greater than 10 business days.Please allow additional time if international delivery is subject to customs processing.",Seller does not accept returns. See details- for more information about returns
2PCS Tempered Glass Screen Protector for iPad/MacBook/Amazon Fire/Samsung Tablet,US $6.49,NewNew,More than 10 available / 176 sold,"US $25.66 eBay International Shipping. See detailsfor shippingLocated in: Brooklyn, New York, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Tue, Aug 29 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
15.6 1366x768 HD eDP LED LCD Screen for Lenovo Ideapad 310-15ISK 80SM007MCF,US $62.99/ea,NewNew,More than 10 available / 6 sold,"US $26.74 eBay International Shipping. See detailsfor shippingLocated in: Dallas, Texas, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Wed, Aug 30 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"14"" SM LCD Screen Lenovo Ideapad U400 U410 U450 U450P U460 U460S Y470 Y470P Y480",GBP 39.75,NewNew,More than 10 available / 6 sold,"GBP 25.93 (approx US $32.90) Expedited Shipping to Egypt via eBay's Global Shipping ProgramThis amount includes seller specified domestic shipping charges as well as applicable international shipping, handling, and other fees. This amount is subject to change until you make payment. For additional information, see the Global Shipping Program terms and conditions. See detailsfor shippingLocated in: Cardiff, United Kingdom","Est. £19.49 Amount confirmed at checkoutThis amount includes applicable customs duties, taxes, brokerage and other fees. This amount is subject to change until you make payment. For additional information, see the Global Shipping Program terms and conditions","Estimated between Mon, Jul 17 and Thu, Jul 20 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Includes international tracking",30 days returns. Buyer pays for return shipping. See details- for more information about returns
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5D10K37833 Lenovo Miix 700-12ISK Assembly 80QL Assembly ST120SM001AKF Miix4,EUR 149.99,Open boxOpen box“A-Grade - Vom NEUEN originalen Lenovo Tablet gezogen - Getestet und funktionsfähig - einige ”... Read moreabout condition,6 available / 9 sold,EUR 25.00 (approx US $27.27) Economy Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: Neumark, Germany","Estimated between Fri, Jul 14 and Fri, Jul 28 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 7 business days.Seller ships within 1 day after receiving cleared payment.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Used - Lenovo ThinkCentre M83 - Intel Core i3 3.4GHz - 8GB - 1TB - Win10 Home,US $35.00,UsedUsed“Pulled as a working system that was upgraded. Kept as spare.”,5 available / 9 sold,"US $169.47 eBay International Shipping. See detailsfor shippingLocated in: Marshfield, Massachusetts, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Tue, Aug 15 and Tue, Sep 5 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 28 business days.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Lenovo IdeaCentre 3 07IAB7 Small Desktop PC i5-12400 8GB 512GB 90SM0076UK,GBP 445.99,NewNew,N/A,"GBP 117.87 (approx US $149.57) Expedited Shipping to Egypt via eBay's Global Shipping ProgramThis amount includes seller specified domestic shipping charges as well as applicable international shipping, handling, and other fees. This amount is subject to change until you make payment. For additional information, see the Global Shipping Program terms and conditions. See detailsfor shippingLocated in: Nottingham, United Kingdom","Est. £89.23 Amount confirmed at checkoutThis amount includes applicable customs duties, taxes, brokerage and other fees. This amount is subject to change until you make payment. For additional information, see the Global Shipping Program terms and conditions","Estimated between Fri, Jul 14 and Tue, Jul 18 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Includes international tracking",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"New/Orig Lenovo ThinkPad X13 Yoga Gen 1 13.3"" FHD Touch Lcd Screen for SM Camera",US $179.99,NewNew,Last One / 2 sold,US $30.00 Expedited International Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: CN, China","Estimated between Thu, Jul 13 and Fri, Jul 21 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Seller ships within 2 days after receiving cleared payment.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Lenovo - Thinkcenter M920 Intel Core i7-8700 16GB RAM 512GB SSD,US $480.00,Open boxOpen box“Product has been opened but its interior is new!”,N/A,"US $210.97 eBay International Shipping. See detailsfor shippingLocated in: Sun Valley, California, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Wed, Aug 16 and Tue, Sep 5 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 26 business days.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"Lenovo FRU SD10W69519 P/N: 14.0"" IPS FHD AG display screen panel matte small brd",GBP 95.02,NewNew,More than 10 available,GBP 21.95 (approx US $27.85) Standard Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: Ipswich, United Kingdom","Estimated between Fri, Jul 14 and Fri, Jul 28 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 7 business days.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Lenovo Think Centre M710s Intel Core i5-7400 3.00GHz 16GB 512GB Windows 10 Pro,US $189.05,"UsedUsed“The computer has been professionally refurbished and tested. Might have some scratches, blemishes, ”... Read moreabout condition",2 available,"US $109.01 eBay International Shipping. See detailsfor shippingLocated in: Owings Mills, Maryland, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Tue, Aug 29 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
